,name,formatted_phone_number,website,formatted_address
36,Marcelão lanches,(19) 3392-8892,,"R. Dr. Raul David do Valle, 1226 - Jardim Morada do Sol, Indaiatuba - SP, 13348-360, Brazil"
37,Dri lanches,(19) 99752-0537,,"R. Álvaro dos Santos, 1154 - Jardim Adriana, Indaiatuba - SP, 13345-650, Brazil"
38,Point Lanches & Porções,(19) 97419-5791,https://point-lanches-porcoes.negocio.site/,"R. Vinte e Quatro de Maio, 226 - Centro, Indaiatuba - SP, 13330-060, Brazil"
39,Lanchão Indaiatuba,,https://bit.ly/CardapioIND,"Av. Pres. Vargas, 1604 - Vila Castelo Branco, Indaiatuba - SP, 13334-085, Brazil"
40,JJ Lanches,(19) 98916-1976,,"R. Dr. Raul David do Valle, 1157 - Jardim Morada do Sol, Indaiatuba - SP, 13348-364, Brazil"
41,Irmãos Bacana Lanches,(19) 3885-5971,http://irmaosbacanaslanches.vitrinevirtual.net/,"R. Pedro de Toledo, 09 - Centro, Indaiatuba - SP, 13330-090, Brazil"
42,Cidão Lanches,(19) 99285-8117,https://m.facebook.com/cidaolanchesoficial,"R. Espírito Santo, 211-219 - Cidade Nova II, Indaiatuba - SP, 13334-340, Brazil"
43,Dog´s Lanchonete e Choperia,(19) 99464-9429,https://pedidoaqui.com.br/dogs-lanchonete,"R. Silvio Candello, 1690 - Jardim Morada do Sol, Indaiatuba - SP, 13348-347, Brazil"
44,Reviera Lanches,(19) 98705-5243,,"Av. Francisco de Paula Leite, 2283 - Jardim Kioto II, Indaiatuba - SP, 13344-430, Brazil"
45,Du'Tião Lanches,(19) 98732-5407,,"R. dos Indaiás, 532 - Jardim Santa Cruz, Indaiatuba - SP, 13342-120, Brazil"
46,Famintos lanches BOX 11 Praça Prudente de Morais,,,"R. Candelária, 19 - Centro, Indaiatuba - SP, 13330-180, Brazil"
47,Orfeu Lanches,(19) 3835-1924,,"Alameda Dr. José Cardeal, 35 - Jardim Pedroso, Indaiatuba - SP, 13343-100, Brazil"
48,Joel Lanches,,,"R. José Estanislau Ambiel, 1996 - Jardim Morada do Sol, Indaiatuba - SP, 13348-320, Brazil"
49,Arildo Lanches,(19) 98117-6402,,"R. Zephiro Puccinelli, 1165-1227 - Jardim Morada do Sol, Indaiatuba - SP, 13344-180, Brazil"
50,Lanchão VM,(19) 3894-6716,,"n 336 - R. Mário de Almeida - Vila Brizzola, Indaiatuba - SP, 13343-510, Brazil"
51,Lanches do Gordão,(19) 2516-3715,,"Praça Maria Imaculada - Cidade Nova II, Indaiatuba - SP, 13335-345, Brazil"
52,Itu Lanches,,,"R. João Martini, 1272 - Jardim Morada do Sol, Indaiatuba - SP, 13348-356, Brazil"
53,PALADORO LANCHES,(19) 99657-1489,,"Vila Nossa Sra. Aparecida, Indaiatuba - SP, 13333-015, Brazil"
54,Vibe Lanches,(19) 98116-7971,,"Av. Conceição, 2020 - Cidade Nova II, Indaiatuba - SP, 13335-310, Brazil"
55,F.B.A Lanches,(19) 99225-0917,,"R. Sd. João Carlos de Oliveira Júnior, 1054 - Jardim do Vale 2, Indaiatuba - SP, 13345-120, Brazil"
56,TRADIÇÃO lanches Delivery,(19) 3894-5080,https://tradicao-lanches.negocio.site/,"R. Manoel Francisco Ribeiro Garcia, 198 - Jardim Oliveira Camargo, Indaiatuba - SP, 13340-703, Brazil"
57,Rox Burguer,(19) 2516-5053,http://www.roxburguer.com.br/,"Av. Pres. Kennedy, 982 - Cidade Nova I, Indaiatuba - SP, 13334-170, Brazil"
58,Alemão lanches box 5,,,"R. Vital Barnabé, 208 - Nucleo Hab. Brg. Faria Lima, Indaiatuba - SP, 13345-413, Brazil"
59,3+ Lanches Hamburgueria,(19) 98290-5578,http://3lanches.weebly.com/,"R. Pedro Antonio, 218 - Jardim Oliveira Camargo, Indaiatuba - SP, 13340-714, Brazil"
